facility,geometry
11 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.4608283318321, 43.671079704102]]}"
12 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.4868758081725, 43.6945791420928]]}"
13 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.436683017409, 43.6983272470012]]}"
14 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.4259812009934, 43.6513054941584]]}"
22 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.5291845553465, 43.6431068970931]]}"
23 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.5835216883366, 43.7438660574591]]}"
31 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.5274742824823, 43.7567504692521]]}"
32 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.4150871867306, 43.7717282049346]]}"
33 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.3500686631186, 43.7510816421946]]}"
41 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.2771104529925, 43.7308054968613]]}"
42 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.2400121060447, 43.7893738948636]]}"
43 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.1740565912932, 43.7708353585185]]}"
51 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.362142235594, 43.6519513901186]]}"
52 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.389717591621, 43.65420902129]]}"
53 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.4006618065204, 43.706060012978]]}"
55 Substation,"{'type': 'MultiPoint', 'coordinates': [[-79.3094827680076, 43.7146083755555]]}"
55 Division,"{'type': 'MultiPoint', 'coordinates': [[-79.3172993476748, 43.6691800181661]]}"
Traffic Services,"{'type': 'MultiPoint', 'coordinates': [[-79.4172240420315, 43.6376314131271]]}"
East Collision Reporting Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.2882379031507, 43.7495554966813]]}"
North Collision Reporting Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.5515352091631, 43.7564091641106]]}"
Mounted Unit,"{'type': 'MultiPoint', 'coordinates': [[-79.4180978021114, 43.6352666156692]]}"
Toronto Police College,"{'type': 'MultiPoint', 'coordinates': [[-79.5034823788963, 43.605084207509]]}"
Headquarters,"{'type': 'MultiPoint', 'coordinates': [[-79.3851429057596, 43.6613577157599]]}"
Parking Enforcement East/Property & Evidence Management,"{'type': 'MultiPoint', 'coordinates': [[-79.2685386609148, 43.7741731469087]]}"
Parking Enforcement West,"{'type': 'MultiPoint', 'coordinates': [[-79.4582923656458, 43.713761023763]]}"
Marine Headquarters,"{'type': 'MultiPoint', 'coordinates': [[-79.3858740470089, 43.6378698515667]]}"
