X_id,OBJECTID_1,FACILITY,ORGANIZATION,ADDRESS,POSTAL_CODE,geometry
1,1,11 Division,Toronto Police Services,2054 Davenport Road ,M6N 1C8,"{'type': 'MultiPoint', 'coordinates': [[-79.4608283318321, 43.671079704102]]}"
2,2,12 Division ,Toronto Police Services,200 Trethewey Drive ,M6M 5E6,"{'type': 'MultiPoint', 'coordinates': [[-79.4868758081725, 43.6945791420928]]}"
3,3,13 Division,Toronto Police Services,1435 Eglinton Avenue West ,M6C 3Z4,"{'type': 'MultiPoint', 'coordinates': [[-79.436683017409, 43.6983272470012]]}"
4,4,14 Division,Toronto Police Services,350 Dovercourt Road ,M6J 3E3,"{'type': 'MultiPoint', 'coordinates': [[-79.4259812009934, 43.6513054941584]]}"
5,5,22 Division,Toronto Police Services,3699 Bloor Street West ,M9A 1A2,"{'type': 'MultiPoint', 'coordinates': [[-79.5291845553465, 43.6431068970931]]}"
6,6,23 Division,Toronto Police Services,5230 Finch Avenue West ,M9V 0A1,"{'type': 'MultiPoint', 'coordinates': [[-79.5835216883366, 43.7438660574591]]}"
7,7,31 Division,Toronto Police Services,40 Norfinch Drive ,M3N 1X1,"{'type': 'MultiPoint', 'coordinates': [[-79.5274742824823, 43.7567504692521]]}"
8,8,32 Division,Toronto Police Services,30 Ellerslie Avenue ,M2N 1X8,"{'type': 'MultiPoint', 'coordinates': [[-79.4150871867306, 43.7717282049346]]}"
9,9,33 Division,Toronto Police Services,50 Upjohn Road ,M3B 2W1,"{'type': 'MultiPoint', 'coordinates': [[-79.3500686631186, 43.7510816421946]]}"
10,10,41 Division,Toronto Police Services,2222 Eglinton Avenue East ,M1K 2M2,"{'type': 'MultiPoint', 'coordinates': [[-79.2771104529925, 43.7308054968613]]}"
11,11,42 Division,Toronto Police Services,242 Milner Avenue,M1S 5C4,"{'type': 'MultiPoint', 'coordinates': [[-79.2400121060447, 43.7893738948636]]}"
12,12,43 Division,Toronto Police Services,4331 Lawrence Avenue East ,M1E 2T4,"{'type': 'MultiPoint', 'coordinates': [[-79.1740565912932, 43.7708353585185]]}"
13,13,51 Division,Toronto Police Services,51 Parliament Street,M5A 2Y5,"{'type': 'MultiPoint', 'coordinates': [[-79.362142235594, 43.6519513901186]]}"
14,14,52 Division,Toronto Police Services,255 Dundas Street West ,M5T 2W5,"{'type': 'MultiPoint', 'coordinates': [[-79.389717591621, 43.65420902129]]}"
15,15,53 Division,Toronto Police Services,75 Eglinton Avenue West ,M4R 2G9,"{'type': 'MultiPoint', 'coordinates': [[-79.4006618065204, 43.706060012978]]}"
16,16,55 Substation,Toronto Police Services,41 Cranfield Road ,M4B 3H6,"{'type': 'MultiPoint', 'coordinates': [[-79.3094827680076, 43.7146083755555]]}"
17,17,55 Division,Toronto Police Services,101 Coxwell Avenue ,M4L 3B3,"{'type': 'MultiPoint', 'coordinates': [[-79.3172993476748, 43.6691800181661]]}"
18,18,Traffic Services,Toronto Police Services,9 Hanna Avenue,M6K 1W8,"{'type': 'MultiPoint', 'coordinates': [[-79.4172240420315, 43.6376314131271]]}"
19,19,East Collision Reporting Centre,Toronto Police Services,39 Howden Road,M1R 3C7,"{'type': 'MultiPoint', 'coordinates': [[-79.2882379031507, 43.7495554966813]]}"
20,20,North Collision Reporting Centre,Toronto Police Services,113 Toryork Drive ,M9L 1X9,"{'type': 'MultiPoint', 'coordinates': [[-79.5515352091631, 43.7564091641106]]}"
21,21,Mounted Unit,Toronto Police Services,91 Manitoba Drive ,M6K 3C3,"{'type': 'MultiPoint', 'coordinates': [[-79.4180978021114, 43.6352666156692]]}"
22,22,Toronto Police College,Toronto Police Services,70 Birmingham Street,M8V 3W6,"{'type': 'MultiPoint', 'coordinates': [[-79.5034823788963, 43.605084207509]]}"
23,23,Headquarters,Toronto Police Services,40 College Street ,M5G 2J3,"{'type': 'MultiPoint', 'coordinates': [[-79.3851429057596, 43.6613577157599]]}"
24,24,Parking Enforcement East/Property & Evidence Management,Toronto Police Services,330 Progress Avenue,M1P 2Z4,"{'type': 'MultiPoint', 'coordinates': [[-79.2685386609148, 43.7741731469087]]}"
25,25,Parking Enforcement West,Toronto Police Services,970 Lawrence Avenue West ,M6A 3B6,"{'type': 'MultiPoint', 'coordinates': [[-79.4582923656458, 43.713761023763]]}"
26,26,Marine Headquarters,Toronto Police Services,259 Queens Quay West ,M5V 1A2,"{'type': 'MultiPoint', 'coordinates': [[-79.3858740470089, 43.6378698515667]]}"
